English,Dutch,French,Polish,Russian,Spanish,Swedish
a's,aan,alors,ach,?,un,aderton
able,af,au,aj,?,una,adertonde
about,al,aucuns,albo,?,unas,adjö
above,als,aussi,bardzo,?,unos,aldrig
according,bij,autre,bez,?,uno,alla
accordingly,dan,avant,bo,?,sobre,allas
across,dat,avec,by?,??,todo,allt
actually,die,avoir,ci,??,también,alltid
after,dit,bon,ci?,??,tras,alltså
afterwards,een,car,ciebie,??,otro,än
again,en,ce,co,??,algún,andra
against,er,cela,czy,??,alguno,andras
ain't,had,ces,daleko,???,alguna,annan
all,heb,ceux,dla,???,algunos,annat
allow,hem,chaque,dlaczego,???,algunas,ännu
allows,het,ci,dlatego,???,ser,artonde
almost,hij,comme,do,???,es,artonn
alone,hoe,comment,dobrze,???,soy,åtminstone
along,hun,dans,dok?d,????,eres,att
already,ik,des,do??,?????,somos,åtta
also,in,du,du?o,??????????????,sois,åttio
although,is,dedans,dwa,??????????????,estoy,åttionde
always,je,dehors,dwaj,??????????????,esta,åttonde
am,kan,depuis,dwie,??????????????,estamos,av
among,me,devrait,dwoje,????,estais,även
amongst,men,doit,dzi?,???,estan,båda
an,met,donc,dzisiaj,???,como,bådas
and,mij,dos,gdyby,?????,en,bakom
another,nog,début,gdzie,?????,para,bara
any,nu,elle,go,?????,atras,bäst
anybody,of,elles,ich,?????,porque,bättre
anyhow,ons,en,ile,???,por qué,behöva
anyone,ook,encore,im,???,estado,behövas
anything,te,essai,inny,???,estaba,behövde
anyway,tot,est,ja,????,ante,behövt
anyways,uit,et,j?,???,antes,beslut
anywhere,van,eu,jak,???,siendo,beslutat
apart,was,fait,jakby,???,ambos,beslutit
appear,wat,faites,jaki,???,pero,bland
appreciate,we,fois,je,???,por,blev
appropriate,wel,font,jeden,????,poder,bli
are,wij,hors,jedna,????,puede,blir
aren't,zal,ici,jedno,????,puedo,blivit
around,ze,il,jego,???????,podemos,bort
as,zei,ils,jej,?????,podeis,borta
aside,zij,je,jemu,??????,pueden,bra
ask,zo,juste,je?li,?????,fui,då
asking,zou,la,jest,???????,fue,dag
associated,,le,jestem,??????,fuimos,dagar
at,,les,je?eli,????,fueron,dagarna
available,,leur,ju?,????,hacer,dagen
away,,là,ka?dy,??????,hago,där
awfully,,ma,kiedy,???,hace,därför
be,,maintenant,kierunku,???????,hacemos,de
became,,mais,kto,????,haceis,del
because,,mes,ku,????,hacen,delen
become,,mine,lub,????,cada,dem
becomes,,moins,ma,????,fin,den
becoming,,mon,maj?,????,incluso,deras
been,,mot,mam,???????????,primero,dess
before,,même,mi,????????????,desde,det
beforehand,,ni,mn?,?????,conseguir,detta
behind,,nommés,mnie,????????,consigo,dig
being,,notre,moi,???????,consigue,din
believe,,nous,mój,?????????,consigues,dina
below,,ou,moja,????????,conseguimos,dit
beside,,où,moje,?????,consiguen,ditt
besides,,par,mo?e,?????,ir,dock
best,,parce,mu,????,voy,du
better,,pas,my,??????,va,efter
between,,peut,na,??????,vamos,eftersom
beyond,,peu,nam,??????????,vais,elfte
both,,plupart,nami,???????,van,eller
brief,,pour,nas,???????,vaya,elva
but,,pourquoi,nasi,??????,gueno,en
by,,quand,nasz,???,ha,enkel
c'mon,,que,nasza,???,tener,enkelt
c's,,quel,nasze,???,tengo,enkla
came,,quelle,natychmiast,???,tiene,enligt
can,,quelles,ni?,???,tenemos,er
can't,,quels,nic,???,teneis,era
cannot,,qui,nich,????,tienen,ert
cant,,sa,nie,????,el,ett
cause,,sans,niego,????,la,ettusen
causes,,ses,niej,????,lo,få 
certain,,seulement,niemu,??????,las,fanns
certainly,,si,nigdy,??????,los,får
changes,,sien,nim,???????,su,fått 
clearly,,son,nimi,?????????,aqui,fem
co,,sont,ni?,??????,mio,femte
com,,sous,obok,?????,tuyo,femtio
come,,soyez,od,?????,ellos,femtionde
comes,,sujet,oko?o,??,ellas,femton
concerning,,sur,on,??,nos,femtonde
consequently,,ta,ona,??,nosotros,fick
consider,,tandis,one,??,vosotros,fin
considering,,tellement,oni,????????,vosotras,finnas
contain,,tels,ono,????????,si,finns
containing,,tes,owszem,?????,dentro,fjärde
contains,,ton,po,?????,solo,fjorton
corresponding,,tous,pod,??????,solamente,fjortonde
could,,tout,poniewa?,?,saber,fler
couldn't,,trop,przed,??,sabes,flera
course,,très,przedtem,???,sabe,flesta
currently,,tu,s?,????,sabemos,följande
definitely,,voient,sam,?????,sabeis,för
described,,vont,sama,??????,saben,före
despite,,votre,si?,???,ultimo,förlåt
did,,vous,sk?d,????????????,largo,förra
didn't,,vu,tak,?????????????,bastante,första
different,,ça,taki,??????,haces,fram
do,,étaient,tam,???????,muchos,framför
does,,état,ten,?????,aquellos,från
doesn't,,étions,to,???,aquellas,fyra
doing,,été,tob?,????,sus,fyrtio
don't,,être,tobie,??????,entonces,fyrtionde
done,,,tu,??????,tiempo,gå
down,,,tutaj,??????,verdad,gälla
downwards,,,twoi,??????,verdadero,gäller
during,,,twój,?????,verdadera,gällt
each,,,twoja,?????,cierto,går
edu,,,twoje,????,ciertos,gärna
eg,,,ty,???,cierta,gått
eight,,,wam,???,ciertas,genast
either,,,wami,????,intentar,genom
else,,,was,????,intento,gick
elsewhere,,,wasi,????,intenta,gjorde
enough,,,wasz,???????,intentas,gjort
entirely,,,wasza,????,intentamos,god
especially,,,wasze,?????,intentais,goda
et,,,we,??,intentan,godare
etc,,,wi?c,???,dos,godast
even,,,wszystko,??????,bajo,gör
ever,,,wtedy,????,arriba,göra
every,,,wy,?????,encima,gott
everybody,,,?aden,???????,usar,ha
everyone,,,zawsze,?????,uso,hade
everything,,,?e,?????,usas,haft
everywhere,,,,?????,usa,han
ex,,,,??????,usamos,hans
exactly,,,,????,usais,har
example,,,,????,usan,här
except,,,,???,emplear,heller
far,,,,???,empleo,hellre
few,,,,???,empleas,helst
fifth,,,,?????,emplean,helt
first,,,,?,ampleamos,henne
five,,,,???,empleais,hennes
followed,,,,???????,valor,hit
following,,,,???????,muy,hög
follows,,,,????,era,höger
for,,,,????,eras,högre
former,,,,???,eramos,högst
formerly,,,,??,eran,hon
forth,,,,??,modo,honom
four,,,,??,bien,hundra
from,,,,??,cual,hundraen
further,,,,??,cuando,hundraett
furthermore,,,,??,donde,hur
get,,,,??,mientras,i
gets,,,,??,quien,ibland
getting,,,,??,con,idag
given,,,,???,entre,igår
gives,,,,???,sin,igen
go,,,,??????,trabajo,imorgon
goes,,,,????????,trabajar,in
going,,,,??????,trabajas,inför
gone,,,,?????,trabaja,inga
got,,,,?????,trabajamos,ingen
gotten,,,,?????,trabajais,ingenting
greetings,,,,??????,trabajan,inget
had,,,,??????????,podria,innan
hadn't,,,,??????,podrias,inne
happens,,,,?????,podriamos,inom
hardly,,,,??????,podrian,inte
has,,,,????,podriais,inuti
hasn't,,,,???,yo,ja
have,,,,???,aquel,jag
haven't,,,,???,,jämfört
having,,,,????,,kan
he,,,,?????,,kanske
he's,,,,??????,,knappast
hello,,,,?????,,kom
help,,,,??????,,komma
hence,,,,?????,,kommer
her,,,,???????,,kommit
here,,,,??,,kr
here's,,,,???,,kunde
hereafter,,,,???,,kunna
hereby,,,,??????????,,kunnat
herein,,,,???????????,,kvar
hereupon,,,,????????,,länge
hers,,,,?????????,,längre
herself,,,,????,,långsam
hi,,,,???,,långsammare
him,,,,???,,långsammast
himself,,,,???,,långsamt
his,,,,???,,längst
hither,,,,????,,långt
hopefully,,,,?????,,lätt
how,,,,??????,,lättare
howbeit,,,,??????,,lättast
however,,,,??????,,legat
i'd,,,,?????????????,,ligga
i'll,,,,?????,,ligger
i'm,,,,????????????,,lika
i've,,,,?????????????,,likställd
ie,,,,??????,,likställda
if,,,,???????,,lilla
ignored,,,,????,,lite
immediate,,,,????,,liten
in,,,,?????,,litet
inasmuch,,,,??????,,man
inc,,,,??????,,många
indeed,,,,?????,,måste
indicate,,,,??????,,med
indicated,,,,???,,mellan
indicates,,,,???,,men
inner,,,,????,,mer
insofar,,,,?????,,mera
instead,,,,??????,,mest
into,,,,?????,,mig
inward,,,,?????,,min
is,,,,?????,,mina
isn't,,,,????,,mindre
it,,,,??????,,minst
it'd,,,,???????,,mitt
it'll,,,,??,,mittemot
it's,,,,??,,möjlig
its,,,,??,,möjligen
itself,,,,??,,möjligt
just,,,,???,,möjligtvis
keep,,,,???,,mot
keeps,,,,???,,mycket
kept,,,,???,,någon
know,,,,?????????,,någonting
knows,,,,??????,,något
known,,,,??????,,några
last,,,,??????,,när
lately,,,,????,,nästa
later,,,,????,,ned
latter,,,,????,,nederst
latterly,,,,????,,nedersta
least,,,,????,,nedre
less,,,,????,,nej
lest,,,,?????,,ner
let,,,,?????,,ni
let's,,,,??????,,nio
like,,,,??????,,nionde
liked,,,,?????????,,nittio
likely,,,,????,,nittionde
little,,,,????,,nitton
look,,,,?????,,nittonde
looking,,,,?????,,nödvändig
looks,,,,???,,nödvändiga
ltd,,,,??????????,,nödvändigt
mainly,,,,???????????,,nödvändigtvis
many,,,,?????,,nog
may,,,,??????,,noll
maybe,,,,??????,,nr
me,,,,??????,,nu
mean,,,,??????,,nummer
meanwhile,,,,??????,,och
merely,,,,????,,också
might,,,,????,,ofta
more,,,,????,,oftast
moreover,,,,?????,,olika
most,,,,?????,,olikt
mostly,,,,?,,om
much,,,,???,,oss
must,,,,???????,,över
my,,,,????,,övermorgon
myself,,,,????,,överst
name,,,,?????,,övre
namely,,,,???????,,på
nd,,,,????????,,rakt
near,,,,???????,,rätt
nearly,,,,???????,,redan
necessary,,,,???????,,så
need,,,,???????,,sade
needs,,,,???,,säga
neither,,,,??????,,säger
never,,,,??????,,sagt
nevertheless,,,,??????,,samma
new,,,,??????,,sämre
next,,,,???????,,sämst
nine,,,,???,,sedan
no,,,,?????,,senare
nobody,,,,?????,,senast
non,,,,???,,sent
none,,,,?????,,sex
noone,,,,????,,sextio
nor,,,,??????,,sextionde
normally,,,,?,,sexton
not,,,,?,,sextonde
nothing,,,,?,,sig
novel,,,,?,,sin
now,,,,??,,sina
nowhere,,,,??,,sist
obviously,,,,??,,sista
of,,,,??,,siste
off,,,,??,,sitt
often,,,,???,,sjätte
oh,,,,?????,,sju
ok,,,,????,,sjunde
okay,,,,??????,,sjuttio
old,,,,????,,sjuttionde
on,,,,?????,,sjutton
once,,,,????,,sjuttonde
one,,,,?????,,ska
ones,,,,?????,,skall
only,,,,?????,,skulle
onto,,,,?????,,slutligen
or,,,,???????,,små
other,,,,??????,,smått
others,,,,?????,,snart
otherwise,,,,???,,som
ought,,,,???,,stor
our,,,,??????,,stora
ours,,,,??????,,större
ourselves,,,,??????,,störst
out,,,,????,,stort
outside,,,,????,,tack
over,,,,????,,tidig
overall,,,,????,,tidigare
own,,,,????,,tidigast
particular,,,,?????,,tidigt
particularly,,,,??????,,till
per,,,,?????,,tills
perhaps,,,,????,,tillsammans
placed,,,,????,,tio
please,,,,????,,tionde
plus,,,,???,,tjugo
possible,,,,???,,tjugoen
presumably,,,,???,,tjugoett
probably,,,,???,,tjugonde
provides,,,,???,,tjugotre
que,,,,???,,tjugotvå
quite,,,,????,,tjungo
qv,,,,????,,tolfte
rather,,,,????,,tolv
rd,,,,????,,tre
re,,,,????,,tredje
really,,,,?????,,trettio
reasonably,,,,??????,,trettionde
regarding,,,,?????,,tretton
regardless,,,,??????,,trettonde
regards,,,,??????????,,två
relatively,,,,???????????,,tvåhundra
respectively,,,,?????,,under
right,,,,??????,,upp
said,,,,?????,,ur
same,,,,????,,ursäkt
saw,,,,????,,ut
say,,,,????,,utan
saying,,,,??????,,utanför
says,,,,??????,,ute
second,,,,????,,vad
secondly,,,,???????,,vänster
see,,,,????,,vänstra
seeing,,,,????,,var
seem,,,,?????,,vår
seemed,,,,???????,,vara
seeming,,,,?????,,våra
seems,,,,??????,,varför
seen,,,,????,,varifrån
self,,,,????,,varit
selves,,,,???????,,varken
sensible,,,,???????,,värre
sent,,,,???????,,varsågod
serious,,,,???,,vart
seriously,,,,?????,,vårt
seven,,,,?????,,vem
several,,,,?????,,vems
shall,,,,?????,,verkligen
she,,,,?????,,vi
should,,,,???,,vid
shouldn't,,,,???,,vidare
since,,,,????,,viktig
six,,,,?????????,,viktigare
so,,,,?????,,viktigast
some,,,,?????,,viktigt
somebody,,,,??????,,vilka
somehow,,,,???????????,,vilken
someone,,,,????????????,,vilket
something,,,,?????,,vill
sometime,,,,??????,,
sometimes,,,,????????????,,
somewhat,,,,?????????????,,
somewhere,,,,???????,,
soon,,,,??????,,
sorry,,,,???????,,
specified,,,,???????,,
specify,,,,??,,
specifying,,,,??,,
still,,,,???,,
sub,,,,???,,
such,,,,???,,
sup,,,,???,,
sure,,,,???,,
t's,,,,????,,
take,,,,????,,
taken,,,,?????,,
tell,,,,????,,
tends,,,,?????,,
th,,,,?????,,
than,,,,????,,
thank,,,,????,,
thanks,,,,????,,
thanx,,,,????,,
that,,,,?????,,
that's,,,,?????,,
thats,,,,??????????,,
the,,,,???????????,,
their,,,,????,,
theirs,,,,??????,,
them,,,,???,,
themselves,,,,???,,
then,,,,????,,
thence,,,,????,,
there,,,,?????,,
there's,,,,,,
thereafter,,,,,,
thereby,,,,,,
therefore,,,,,,
therein,,,,,,
theres,,,,,,
thereupon,,,,,,
these,,,,,,
they,,,,,,
they'd,,,,,,
they'll,,,,,,
they're,,,,,,
they've,,,,,,
think,,,,,,
third,,,,,,
this,,,,,,
thorough,,,,,,
thoroughly,,,,,,
those,,,,,,
though,,,,,,
three,,,,,,
through,,,,,,
throughout,,,,,,
thru,,,,,,
thus,,,,,,
to,,,,,,
together,,,,,,
too,,,,,,
took,,,,,,
toward,,,,,,
towards,,,,,,
tried,,,,,,
tries,,,,,,
truly,,,,,,
try,,,,,,
trying,,,,,,
twice,,,,,,
two,,,,,,
un,,,,,,
under,,,,,,
unfortunately,,,,,,
unless,,,,,,
unlikely,,,,,,
until,,,,,,
unto,,,,,,
up,,,,,,
upon,,,,,,
us,,,,,,
use,,,,,,
used,,,,,,
useful,,,,,,
uses,,,,,,
using,,,,,,
usually,,,,,,
value,,,,,,
various,,,,,,
very,,,,,,
via,,,,,,
viz,,,,,,
vs,,,,,,
want,,,,,,
wants,,,,,,
was,,,,,,
wasn't,,,,,,
way,,,,,,
we,,,,,,
we'd,,,,,,
we'll,,,,,,
we're,,,,,,
we've,,,,,,
welcome,,,,,,
well,,,,,,
went,,,,,,
were,,,,,,
weren't,,,,,,
what,,,,,,
what's,,,,,,
whatever,,,,,,
when,,,,,,
whence,,,,,,
whenever,,,,,,
where,,,,,,
where's,,,,,,
whereafter,,,,,,
whereas,,,,,,
whereby,,,,,,
wherein,,,,,,
whereupon,,,,,,
wherever,,,,,,
whether,,,,,,
which,,,,,,
while,,,,,,
whither,,,,,,
who,,,,,,
who's,,,,,,
whoever,,,,,,
whole,,,,,,
whom,,,,,,
whose,,,,,,
why,,,,,,
will,,,,,,
willing,,,,,,
wish,,,,,,
with,,,,,,
within,,,,,,
without,,,,,,
won't,,,,,,
wonder,,,,,,
would,,,,,,
would,,,,,,
wouldn't,,,,,,
yes,,,,,,
yet,,,,,,
you,,,,,,
you'd,,,,,,
you'll,,,,,,
you're,,,,,,
you've,,,,,,
your,,,,,,
yours,,,,,,
yourself,,,,,,
yourselves,,,,,,
zero,,,,,,
